timestamp,other_cpu_pct
2026-09-13T22:29:50,59
2026-09-13T22:30:20,35
2026-09-13T22:30:50,28
2026-09-13T22:31:20,44
2026-09-13T22:31:50,61
2026-09-13T22:32:20,22
2026-09-13T22:32:50,32
2026-09-13T22:33:20,102
2026-09-13T22:33:50,8
2026-09-13T22:34:21,3
2026-09-13T22:34:51,104
2026-09-13T22:35:21,26
2026-09-13T22:35:51,34
2026-09-13T22:36:21,60
2026-09-13T22:36:51,116
2026-09-13T22:37:21,63
2026-09-13T22:37:51,25
2026-09-13T22:38:21,27
2026-09-13T22:38:51,139
2026-09-13T22:39:21,69
2026-09-13T22:39:51,180
2026-09-13T22:40:21,40
2026-09-13T22:40:51,26
2026-09-13T22:41:21,27
2026-09-13T22:41:51,41
2026-09-13T22:42:22,70
2026-09-13T22:42:52,68
2026-09-13T22:43:22,30
2026-09-13T22:43:52,46
2026-09-13T22:44:22,47
2026-09-13T22:44:52,63
2026-09-13T22:45:22,32
2026-09-13T22:45:52,215
2026-09-13T22:46:22,63
2026-09-13T22:46:52,67
2026-09-13T22:47:22,148
2026-09-13T22:47:52,44
2026-09-13T22:48:22,85
2026-09-13T22:48:52,22
2026-09-13T22:49:22,22
2026-09-13T22:49:52,15
2026-09-13T22:50:23,21
2026-09-13T22:50:53,203
2026-09-13T22:51:23,202
2026-09-13T22:51:53,16
2026-09-13T22:52:23,16
2026-09-13T22:52:53,12
2026-09-13T22:53:23,19
2026-09-13T22:53:53,14
2026-09-13T22:54:23,16
2026-09-13T22:54:53,117
2026-09-13T22:55:23,26
2026-09-13T22:55:53,79
2026-09-13T22:56:23,96
2026-09-13T22:56:53,81
2026-09-13T22:57:23,78
2026-09-13T22:57:54,85
2026-09-13T22:58:24,85
2026-09-13T22:58:54,23
2026-09-13T22:59:24,100
2026-09-13T22:59:54,18
2026-09-13T23:00:24,25
2026-09-13T23:00:54,16
2026-09-13T23:01:24,26
2026-09-13T23:01:54,11
2026-09-13T23:02:24,67
2026-09-13T23:02:54,64
2026-09-13T23:03:24,91
2026-09-13T23:03:54,96
2026-09-13T23:04:24,12
2026-09-13T23:04:54,12
2026-09-13T23:05:24,10
2026-09-13T23:05:55,9
2026-09-13T23:06:25,27
2026-09-13T23:06:55,90
2026-09-13T23:07:25,16
2026-09-13T23:07:55,67
2026-09-13T23:08:25,55
2026-09-13T23:08:55,25
2026-09-13T23:09:25,129
2026-09-13T23:09:55,83
2026-09-13T23:10:25,27
2026-09-13T23:10:55,75
2026-09-13T23:11:25,95
2026-09-13T23:11:55,19
2026-09-13T23:12:25,127
2026-09-13T23:12:55,96
2026-09-13T23:13:25,101
2026-09-13T23:13:56,89
2026-09-13T23:14:26,27
2026-09-13T23:14:56,31
2026-09-13T23:15:26,17
2026-09-13T23:15:56,180
2026-09-13T23:16:26,30
2026-09-13T23:16:56,52
2026-09-13T23:17:26,12
2026-09-13T23:17:56,39
2026-09-13T23:18:26,137
2026-09-13T23:18:56,72
2026-09-13T23:19:26,103
2026-09-13T23:19:56,79
2026-09-13T23:20:26,54
2026-09-13T23:20:56,90
2026-09-13T23:21:26,103
2026-09-13T23:21:57,111
2026-09-13T23:22:27,93
2026-09-13T23:22:57,110
2026-09-13T23:23:27,42
2026-09-13T23:23:57,41
2026-09-13T23:24:27,80
2026-09-13T23:24:57,57
2026-09-13T23:25:27,29
2026-09-13T23:25:57,24
2026-09-13T23:26:27,19
2026-09-13T23:26:57,94
2026-09-13T23:27:27,103
2026-09-13T23:27:57,26
2026-09-13T23:28:27,58
2026-09-13T23:28:57,92
2026-09-13T23:29:27,32
2026-09-13T23:29:58,104
2026-09-13T23:30:28,72
2026-09-13T23:30:58,84
2026-09-13T23:31:28,119
2026-09-13T23:31:58,94
2026-09-13T23:32:28,90
2026-09-13T23:32:58,103
2026-09-13T23:33:28,42
2026-09-13T23:33:58,91
2026-09-13T23:34:28,43
2026-09-13T23:34:58,41
2026-09-13T23:35:28,53
2026-09-13T23:35:58,73
2026-09-13T23:36:28,15
2026-09-13T23:36:58,13
2026-09-13T23:37:28,9
2026-09-13T23:37:59,37
2026-09-13T23:38:29,27
2026-09-13T23:38:59,95
2026-09-13T23:39:29,60
2026-09-13T23:39:59,22
2026-09-13T23:40:29,134
2026-09-13T23:40:59,21
2026-09-13T23:41:29,22
2026-09-13T23:41:59,98
2026-09-13T23:42:29,98
2026-09-13T23:42:59,51
2026-09-13T23:43:29,12
2026-09-13T23:43:59,31
2026-09-13T23:44:29,12
2026-09-13T23:44:59,25
2026-09-13T23:45:29,73
2026-09-13T23:46:00,18
2026-09-13T23:46:30,53
2026-09-13T23:47:00,141
2026-09-13T23:47:30,25
2026-09-13T23:48:00,41
2026-09-13T23:48:30,26
2026-09-13T23:49:00,60
2026-09-13T23:49:30,26
2026-09-13T23:50:00,30
2026-09-13T23:50:30,22
2026-09-13T23:51:00,269
2026-09-13T23:51:30,181
2026-09-13T23:52:00,42
2026-09-13T23:52:30,22
2026-09-13T23:53:00,22
2026-09-13T23:53:30,283
2026-09-13T23:54:01,62
2026-09-13T23:54:31,26
2026-09-13T23:55:01,33
2026-09-13T23:55:31,18
